Dataset,Date,Mean,PixelCount(zonal_stats),ValidInClip(mask),GeomValid,GeomEmpty,IntersectsRaster,BaseAllTouched,RetriedAllTouched,UsedFallback,BufferedTiny
ET041216,20220117,1.2298809595051265,84,84,True,False,True,False,False,False,False
ET041219,20220117,0.7575396836277039,126,126,True,False,True,False,False,False,False
ET041220,20220117,0.8378846129545798,104,104,True,False,True,False,False,False,False
ET041223,20220117,1.0651162710300712,43,43,True,False,True,False,False,False,False
ET041290,20220117,1.0770833256344001,48,48,True,False,True,False,False,False,False
ET041291,20220117,0.8786842101498654,76,76,True,False,True,False,False,False,False
ET041295,20220117,1.1196183207380863,131,131,True,False,True,False,False,False,False
ET041296,20220117,1.1024999916553497,4,0,True,False,True,False,True,False,False
ET041298,20220117,0.8564848484414996,165,165,True,False,True,False,False,False,False
ET050101,20220117,0.19528408968736502,176,176,True,False,True,False,False,False,False
ET050102,20220117,0.3405813936707239,86,86,True,False,True,False,False,False,False
ET050103,20220117,0.33799999989569185,120,120,True,False,True,False,False,False,False
ET050104,20220117,0.3429078018781564,141,141,True,False,True,False,False,False,False
ET050105,20220117,0.3425609741541671,82,82,True,False,True,False,False,False,False
ET050106,20220117,0.1463999995738268,125,125,True,False,True,False,False,False,False
ET050107,20220117,0.7299999988848164,31,31,True,False,True,False,False,False,False
ET050198,20220117,0.47114285613809315,35,35,True,False,True,False,False,False,False
ET050199,20220117,0.11909999990835786,200,200,True,False,True,False,False,False,False
ET050202,20220117,0.7362499982118607,8,8,True,False,True,False,False,False,False
ET050203,20220117,0.7140000104904175,10,10,True,False,True,False,False,False,False
ET050204,20220117,0.547959178686142,49,49,True,False,True,False,False,False,False
ET050205,20220117,0.4490909045392817,55,55,True,False,True,False,False,False,False
ET050206,20220117,0.43659793685392007,97,97,True,False,True,False,False,False,False
ET050207,20220117,0.24885906101573232,149,149,True,False,True,False,False,False,False
ET050283,20220117,0.5733333269755045,15,15,True,False,True,False,False,False,False
ET050290,20220117,0.3700000021768653,23,23,True,False,True,False,False,False,False
ET050293,20220117,0.5971428666796003,7,7,True,False,True,False,False,False,False
ET050295,20220117,0.47000000476837156,5,5,True,False,True,False,False,False,False
ET050296,20220117,0.4599999984105428,6,0,True,False,True,False,True,False,False
ET050297,20220117,0.37259999990463255,50,50,True,False,True,False,False,False,False
ET050298,20220117,0.46814814651453934,27,27,True,False,True,False,False,False,False
ET050299,20220117,0.344814812971486,54,54,True,False,True,False,False,False,False
ET050301,20220117,0.3183898323420751,118,118,True,False,True,False,False,False,False
ET050302,20220117,0.23386554751826935,119,119,True,False,True,False,False,False,False
ET050303,20220117,0.2978494639999123,93,93,True,False,True,False,False,False,False
ET050304,20220117,0.36625329857215405,379,379,True,False,True,False,False,False,False
ET050305,20220117,0.28392405223242845,79,79,True,False,True,False,False,False,False
ET050306,20220117,0.3067391294500102,46,46,True,False,True,False,False,False,False
ET050307,20220117,0.26222222050031024,9,9,True,False,True,False,False,False,False
ET050382,20220117,0.3175510204568201,49,49,True,False,True,False,False,False,False
ET050392,20220117,0.24929515659677826,227,227,True,False,True,False,False,False,False
ET050394,20220117,0.25741176456213,85,85,True,False,True,False,False,False,False
ET050395,20220117,0.4003124963492155,32,32,True,False,True,False,False,False,False
ET050399,20220117,0.38311111198531256,45,45,True,False,True,False,False,False,False
ET050402,20220117,0.48696428457541124,112,112,True,False,True,False,False,False,False
ET050403,20220117,0.16800000071525573,5,5,True,False,True,False,False,False,False
ET050404,20220117,0.25756756820388743,74,74,True,False,True,False,False,False,False
ET050407,20220117,0.3144444442457623,18,18,True,False,True,False,False,False,False
ET050408,20220117,0.6813636367971246,22,22,True,False,True,False,False,False,False
ET050497,20220117,0.5633333308829201,18,18,True,False,True,False,False,False,False
ET050498,20220117,0.24186440670894363,59,59,True,False,True,False,False,False,False
ET050499,20220117,0.2613333334525426,15,15,True,False,True,False,False,False,False
ET050501,20220117,0.26315789525968986,57,57,True,False,True,False,False,False,False
ET050502,20220117,0.3342857142160465,77,77,True,False,True,False,False,False,False
ET050503,20220117,0.39557894664375404,380,380,True,False,True,False,False,False,False
ET050504,20220117,0.30383720993995667,86,86,True,False,True,False,False,False,False
ET050586,20220117,0.5238596462366873,114,114,True,False,True,False,False,False,False
ET050592,20220117,0.2849999964237213,4,4,True,False,True,False,False,False,False
